day,scenario,total_completed,avg_lead_time_hours,avg_rework_cycles,simulation_time
1,Traditional PR,0,0.0,0.0,8
2,Traditional PR,1,10.333333333333337,0.0,16
3,Traditional PR,6,14.444444444444438,0.5,24
4,Traditional PR,12,14.920936713906324,0.5833333333333334,32
5,Traditional PR,16,15.368885793273645,0.6875,40
6,Traditional PR,18,15.57990872571714,0.7222222222222222,48
7,Traditional PR,25,18.929629832052914,1.32,56
8,Traditional PR,27,19.08483665158079,1.3333333333333333,64
9,Traditional PR,32,20.094469990982407,1.46875,72
10,Traditional PR,38,22.56202143328577,1.9210526315789473,80
11,Traditional PR,47,22.687407774275297,1.9574468085106382,88
12,Traditional PR,49,22.518122070923937,1.9387755102040816,96
13,Traditional PR,53,22.01493734138132,1.8867924528301887,104
14,Traditional PR,57,21.724240126320467,1.8421052631578947,112
15,Traditional PR,62,21.630215291562273,1.903225806451613,120
16,Traditional PR,66,21.622353435345577,1.9545454545454546,128
17,Traditional PR,69,21.04704761456739,1.8695652173913044,136
18,Traditional PR,74,20.86335379288131,1.8513513513513513,144
19,Traditional PR,78,20.61576118480278,1.8461538461538463,152
20,Traditional PR,80,21.282645057165105,1.9625,160
21,Traditional PR,84,21.56877900997545,2.0595238095238093,168
22,Traditional PR,87,21.63419893559883,2.103448275862069,176
23,Traditional PR,91,22.177863715984994,2.1758241758241756,184
24,Traditional PR,96,22.64117862202879,2.2604166666666665,192
25,Traditional PR,100,23.47899292906327,2.38,200
26,Traditional PR,101,23.329035903362975,2.3564356435643563,208
27,Traditional PR,106,23.436852809742025,2.443396226415094,216
28,Traditional PR,112,23.351904681955936,2.4285714285714284,224
29,Traditional PR,115,23.379445511836533,2.4260869565217393,232
30,Traditional PR,118,23.18849502168041,2.3983050847457625,240
31,Traditional PR,122,23.55605945612127,2.4508196721311477,248
32,Traditional PR,129,23.717985412780468,2.503875968992248,256
33,Traditional PR,132,23.6045728297805,2.484848484848485,264
34,Traditional PR,134,23.53177457955109,2.462686567164179,272
35,Traditional PR,140,23.396678581022314,2.5,280
36,Traditional PR,144,23.19665049141334,2.4652777777777777,288
37,Traditional PR,149,23.472362100167295,2.5369127516778525,296
38,Traditional PR,152,23.175783303924153,2.486842105263158,304
39,Traditional PR,157,23.361971501024673,2.522292993630573,312
40,Traditional PR,160,23.3399203117991,2.5125,320
41,Traditional PR,167,23.126056393183177,2.4730538922155687,328
42,Traditional PR,170,23.04066073245851,2.4529411764705884,336
43,Traditional PR,176,23.33543573854445,2.5056818181818183,344
44,Traditional PR,178,23.169683514683012,2.4775280898876404,352
45,Traditional PR,183,23.213528522722385,2.4972677595628414,360
46,Traditional PR,186,23.196518453471462,2.4946236559139785,368
47,Traditional PR,192,23.126780515227825,2.4739583333333335,376
48,Traditional PR,197,23.15461328206807,2.472081218274112,384
49,Traditional PR,200,23.22479588284122,2.485,392
50,Traditional PR,204,23.19471881647801,2.480392156862745,400
51,Traditional PR,209,23.249066413053896,2.488038277511962,408
52,Traditional PR,214,23.228953185673387,2.4906542056074765,416
53,Traditional PR,217,23.34687760746186,2.4976958525345623,424
54,Traditional PR,219,23.323436619118002,2.497716894977169,432
55,Traditional PR,222,23.183947356079454,2.472972972972973,440
56,Traditional PR,228,23.278713449171743,2.508771929824561,448
57,Traditional PR,233,23.139610667809162,2.48068669527897,456
58,Traditional PR,237,23.359238262502195,2.518987341772152,464
59,Traditional PR,240,23.191152347652494,2.4916666666666667,472
60,Traditional PR,246,23.060772453526887,2.467479674796748,480
61,Traditional PR,246,23.060772453526887,2.467479674796748,488
1,AI-Enhanced PR,2,6.820512820512819,0.0,8
2,AI-Enhanced PR,6,9.760683760683762,0.3333333333333333,16
3,AI-Enhanced PR,9,9.797503255760201,0.3333333333333333,24
4,AI-Enhanced PR,11,11.843326593115858,0.7272727272727273,32
5,AI-Enhanced PR,18,16.1148109965725,1.4444444444444444,40
6,AI-Enhanced PR,25,17.505351271695396,1.68,48
7,AI-Enhanced PR,26,17.752789626619577,1.7307692307692308,56
8,AI-Enhanced PR,32,20.782390358242218,2.3125,64
9,AI-Enhanced PR,34,20.391437426548695,2.264705882352941,72
10,AI-Enhanced PR,40,22.29805797296364,2.65,80
11,AI-Enhanced PR,44,22.260686298166625,2.6818181818181817,88
12,AI-Enhanced PR,47,22.6442999260997,2.765957446808511,96
13,AI-Enhanced PR,54,22.606858029558392,2.7962962962962963,104
14,AI-Enhanced PR,58,23.80376343942473,3.0172413793103448,112
15,AI-Enhanced PR,67,23.780322541055625,3.014925373134328,120
16,AI-Enhanced PR,71,23.967393431393546,3.0140845070422535,128
17,AI-Enhanced PR,76,24.14530035177461,3.0526315789473686,136
18,AI-Enhanced PR,79,23.821744987618057,2.9873417721518987,144
19,AI-Enhanced PR,85,23.49503762500395,2.929411764705882,152
20,AI-Enhanced PR,93,22.627939694763448,2.752688172043011,160
21,AI-Enhanced PR,100,23.046944070534238,2.83,168
22,AI-Enhanced PR,107,22.768736267478896,2.7757009345794392,176
23,AI-Enhanced PR,113,22.507329578557187,2.734513274336283,184
24,AI-Enhanced PR,116,22.433798092026606,2.7413793103448274,192
25,AI-Enhanced PR,122,22.33553262163475,2.762295081967213,200
26,AI-Enhanced PR,124,22.283378408780525,2.7580645161290325,208
27,AI-Enhanced PR,128,22.209332195486997,2.75,216
28,AI-Enhanced PR,135,22.515448259337973,2.8074074074074074,224
29,AI-Enhanced PR,143,22.509349123261423,2.797202797202797,232
30,AI-Enhanced PR,147,22.5291208954344,2.7823129251700682,240
31,AI-Enhanced PR,156,22.34956569599945,2.7371794871794872,248
32,AI-Enhanced PR,159,22.089970649087753,2.69811320754717,256
33,AI-Enhanced PR,167,22.02427465675227,2.682634730538922,264
34,AI-Enhanced PR,171,22.15326589019429,2.7076023391812867,272
35,AI-Enhanced PR,176,22.429558658811764,2.7556818181818183,280
36,AI-Enhanced PR,181,22.26205865501165,2.734806629834254,288
37,AI-Enhanced PR,185,22.240093410495977,2.7405405405405405,296
38,AI-Enhanced PR,189,22.15390895190786,2.7195767195767195,304
39,AI-Enhanced PR,192,21.995273401348822,2.6927083333333335,312
40,AI-Enhanced PR,196,22.03735157113808,2.6989795918367347,320
41,AI-Enhanced PR,201,22.180613156822318,2.7213930348258706,328
42,AI-Enhanced PR,205,22.610520722136553,2.790243902439024,336
43,AI-Enhanced PR,209,22.915233214774698,2.8229665071770333,344
44,AI-Enhanced PR,214,23.557119951130645,2.911214953271028,352
45,AI-Enhanced PR,221,23.688777324325493,2.927601809954751,360
46,AI-Enhanced PR,229,23.613694698608832,2.912663755458515,368
47,AI-Enhanced PR,233,23.695873728461898,2.9313304721030042,376
48,AI-Enhanced PR,237,23.607501099206573,2.9156118143459917,384
49,AI-Enhanced PR,244,23.639077756374444,2.9262295081967213,392
50,AI-Enhanced PR,247,23.522597462051245,2.9068825910931175,400
51,AI-Enhanced PR,252,23.541017495271237,2.9166666666666665,408
52,AI-Enhanced PR,259,23.449463826674247,2.9034749034749034,416
53,AI-Enhanced PR,267,23.639451809781644,2.951310861423221,424
54,AI-Enhanced PR,272,23.6699780656644,2.9558823529411766,432
55,AI-Enhanced PR,275,23.552389908052028,2.938181818181818,440
56,AI-Enhanced PR,280,23.407379596928802,2.9107142857142856,448
57,AI-Enhanced PR,285,23.347072581538978,2.912280701754386,456
58,AI-Enhanced PR,292,23.19016986121826,2.8972602739726026,464
59,AI-Enhanced PR,296,23.112512413827286,2.8817567567567566,472
60,AI-Enhanced PR,300,23.112081110279984,2.88,480
61,AI-Enhanced PR,303,23.035572693462054,2.8646864686468647,488
1,Pair Programming,0,0.0,0.0,8
2,Pair Programming,4,8.671996766353235,0.5,16
3,Pair Programming,8,8.529889953665773,0.375,24
4,Pair Programming,12,8.647723179975195,0.4166666666666667,32
5,Pair Programming,16,8.510792384981396,0.3125,40
6,Pair Programming,20,9.027050465032039,0.5,48
7,Pair Programming,24,8.90392864476848,0.4583333333333333,56
8,Pair Programming,27,8.889584167538123,0.48148148148148145,64
9,Pair Programming,32,9.112321694835096,0.53125,72
10,Pair Programming,36,9.207072352918646,0.5555555555555556,80
11,Pair Programming,40,9.255764493382436,0.575,88
12,Pair Programming,44,9.191884286183805,0.5681818181818182,96
13,Pair Programming,48,9.191021520020543,0.5625,104
14,Pair Programming,52,9.142510521579968,0.5384615384615384,112
15,Pair Programming,56,9.102211833062016,0.5357142857142857,120
16,Pair Programming,60,9.156298166618987,0.5333333333333333,128
17,Pair Programming,64,9.21305717915587,0.546875,136
18,Pair Programming,68,9.191292791241553,0.5588235294117647,144
19,Pair Programming,72,9.157206034244942,0.5555555555555556,152
20,Pair Programming,76,9.155263305160114,0.5657894736842105,160
21,Pair Programming,80,9.154729192319298,0.5625,168
22,Pair Programming,84,9.171525635101867,0.5476190476190477,176
23,Pair Programming,87,9.174543910782745,0.5517241379310345,184
24,Pair Programming,92,9.226295157324444,0.5869565217391305,192
25,Pair Programming,96,9.199239646656016,0.5729166666666666,200
26,Pair Programming,100,9.155270060789775,0.55,208
27,Pair Programming,104,9.138448701165414,0.5480769230769231,216
